Algorithm,DataType,Size,AvgTime(ms),AvgComparisons
Bubble,Random,100,0.035704,4950
Quick,Random,100,0.004880,759
Heap,Random,100,0.009545,1031
Shell,Random,100,0.006952,802
Merge,Random,100,0.021222,543
Insertion,Random,100,0.014787,2573
Bubble,Random,1000,3.810054,499500
Quick,Random,1000,0.087132,11723
Heap,Random,1000,0.163190,16839
Shell,Random,1000,0.150451,15475
Merge,Random,1000,0.264753,8705
Insertion,Random,1000,1.033368,250443
Bubble,Random,5000,61.760829,12497500
Quick,Random,5000,0.396996,76341
Heap,Random,5000,0.735846,107660
Shell,Random,5000,0.736598,123195
Merge,Random,5000,0.972640,55282
Insertion,Random,5000,16.731782,6285070
Bubble,Random,10000,272.429416,49995000
Quick,Random,10000,0.842430,159677
Heap,Random,10000,1.665721,235235
Shell,Random,10000,1.592915,261478
Merge,Random,10000,2.073200,120481
Insertion,Random,10000,66.113908,24835513
Bubble,Random,50000,7078.714874,1249975000
Quick,Random,50000,5.004585,975148
Heap,Random,50000,9.961632,1409849
Shell,Random,50000,10.728780,1911997
Merge,Random,50000,11.460318,717993
Insertion,Random,50000,1685.862009,625666266
Bubble,Random,100000,28106.010518,4999950000
Quick,Random,100000,10.433544,2027089
Heap,Random,100000,21.086110,3019803
Shell,Random,100000,24.104432,4511652
Merge,Random,100000,23.785446,1536638
Insertion,Random,100000,6760.815962,2504755985
Bubble,NearlySorted,100,0.019533,4950
Quick,NearlySorted,100,0.004899,1343
Heap,NearlySorted,100,0.007102,1073
Shell,NearlySorted,100,0.003967,713
Merge,NearlySorted,100,0.014173,490
Insertion,NearlySorted,100,0.002597,627
Bubble,NearlySorted,1000,1.520255,499500
Quick,NearlySorted,1000,0.084948,25568
Heap,NearlySorted,1000,0.123060,17403
Shell,NearlySorted,1000,0.081634,13085
Merge,NearlySorted,1000,0.153176,8125
Insertion,NearlySorted,1000,0.163455,56798
Bubble,NearlySorted,5000,37.792928,12497500
Quick,NearlySorted,5000,0.475150,138164
Heap,NearlySorted,5000,0.740134,111248
Shell,NearlySorted,5000,0.609817,99342
Merge,NearlySorted,5000,0.799686,52368
Insertion,NearlySorted,5000,3.978958,1426759
Bubble,NearlySorted,10000,151.281846,49995000
Quick,NearlySorted,10000,0.876198,266936
Heap,NearlySorted,10000,1.601616,242506
Shell,NearlySorted,10000,1.371301,231068
Merge,NearlySorted,10000,1.660133,115401
Insertion,NearlySorted,10000,15.771590,5870059
Bubble,NearlySorted,50000,3840.422531,1249975000
Quick,NearlySorted,50000,6.645639,1996715
Heap,NearlySorted,50000,9.601639,1446877
Shell,NearlySorted,50000,9.496699,1603982
Merge,NearlySorted,50000,9.419888,692591
Insertion,NearlySorted,50000,384.363553,144186906
Bubble,NearlySorted,100000,15377.739156,4999950000
Quick,NearlySorted,100000,17.932803,5546344
Heap,NearlySorted,100000,18.993106,3095586
Shell,NearlySorted,100000,20.022034,3600889
Merge,NearlySorted,100000,18.692607,1484528
Insertion,NearlySorted,100000,1547.179765,577458939
